,id,text,start_time,withheld
40,1465409558960951300,"@nypost #OMICRON = VERY MILD SYMPTOMS, no loss of taste, or smell... it's COMMON FLU!

#FraudFauci &amp; @JoeBiden Admin use this to continue to spread #COVID19 fear THRU 2022!!!!

S.African doctor who first reported says Omicron variant have very mild symptoms!
https://t.co/jaMhNXOYZf",2021-11-29T16:00:00Z,
41,1465409552950702081,"Another day, another stupid Republican conspiracy
#Omicron #OmicronVariant #COVIDIOTS #gop #RepublicansAreTheProblem
https://t.co/2oryiYzYxF",2021-11-29T16:00:00Z,
42,1465409550518034434,"Alhamdulillah, I am happy to announce that I have become a part of @SAMAATV team, I have joined #SamaaDigital @HealthSamaa 
#OmicronVariant #Omicron 
@NKMalazai @MWaqar_Bhatti @SindhHealthDpt @AzraPechuho @LumosNotNox @TaneerAhmed @WaqarMuhdKhan @SaadMaqsud @Kashif_Hafeez https://t.co/zsmRBSWYM7",2021-11-29T16:00:00Z,
43,1465409523854815236,"Every time we cut a head off of this monster, it grows 3 fucking more #omicron I am soooooo over #covid. Please, stay home when you're sick, and when you can. Keep your distance, wear your mask, and get vaccinated. We are headed into another cold, dark, winter. Be KIND &lt;3",2021-11-29T16:00:00Z,
44,1465409522374041603,"Interesting food for thought on #Omicron

https://t.co/P5Wmq8ZCeJ",2021-11-29T16:00:00Z,
45,1465409511825416192,"Omicron Variant.
New STC - Listen https://t.co/y7kuT1Cplh #startrek #startrekdiscovery #paramountplus #covid #omicron #southafrica #covidvariant https://t.co/0w8ABog0kw",2021-11-29T16:00:00Z,
46,1465409507907891201,"@JoeConchaTV #OMICRON = VERY MILD SYMPTOMS, no loss of taste, or smell... it's COMMON FLU!

#FraudFauci &amp; @JoeBiden Admin use this to continue to spread #COVID19 fear THRU 2022!!!!

S.African doctor who first reported says Omicron variant have very mild symptoms!
https://t.co/jaMhNXOYZf",2021-11-29T16:00:00Z,
47,1465409502962802689,"Don't miss this 1000x 
#shib #Omicron #bsc #eth https://t.co/LEckFdI4gc",2021-11-29T16:00:00Z,
48,1465409487930548233,"❗""there are unique inserts in the SARS-CoV-2 spike protein""❗

🧩Well that explains everything...
☣️😷
#covidvariant #Omicron #COVID19 #coronavirus #Corona #Covid #COVID19Vaccine https://t.co/HZH28wnMkE",2021-11-29T16:00:00Z,
49,1465409476526231555,#Nowplaying Body - Loud Luxury  - Stream here-&gt; https://t.co/YiXxSepm8x - Non Stop Hits from the 70s to Today #Rideshare #Radio #Hits #Uber #RideshareRadio #CHEMUN #Virgil #Chelsea #Omicron #wswvnew,2021-11-29T16:00:00Z,
50,1465409449514909699,"Omicron crashes return ticket prices

#Kuwait #Omicron #AirTickets #Arrivals

https://t.co/kUefPNSuMG",2021-11-29T16:00:00Z,
51,1465409416971399184,"""Scientists advising South Africa’s government told a media briefing on Monday that while #Omicron appeared to be more transmissible, cases appeared to very #mild.""

#COVID19 #B11529

https://t.co/AdDSxNPMhC",2021-11-29T16:00:00Z,
52,1465409394271739904,All adults in the United Kingdom will be able to get their booster Covid-19 vaccine doses three months after their second shot that comes amid fears over the #Omicron varian https://t.co/OhiWKz952b,2021-11-29T16:00:00Z,
53,1465409387325964295,This is the other point no one explaining. Why are countries who have had mandatory mask wearing in the same boat as those that haven’t?  🤷🏼‍♀️#masks #COVID19 #Omicron https://t.co/2yqdEluQZi,2021-11-29T16:00:00Z,
54,1465409376169070593,"This project has a talented and intelligent team! @swisscpayment is the future of #DEX @TheMoonCarl.💯🚀

With #SCP, you'll be able to trade your #cryptocurrency in a reliable, and secure exchange that also charges low fees.💸💪

#Crypto #Binance #FLOKI #Omicron #nftart $ETH $BTC https://t.co/xYB0MxhB20",2021-11-29T16:00:00Z,
55,1465409364529983490,"The American Right has become an ignorant, anti-science death cult. #Omicron is a variant of concern. Approximately 777,000
Americans have been killed by COVID-19. It is NOT “a mild cold.” Get vaccinated. Mask up. Stay out of crowds. Stay home when sick. Support #VaccineEquity. https://t.co/UeNlh3i2SD",2021-11-29T16:00:00Z,
56,1465409351729004545,"#BallonDor2021
#messi
#Lewandowski
#CyberMonday
#GivingTuesday2021
#Mets
#JackDorsey
Get your assignments done
assignment
homework
essay
homework
#javascript #CoDMobile #programmer #Onlineclass #OmicronVariant #Omicron #IELTS #uk #UAENationalDay50 #USA #UAENationalDay #Australia",2021-11-29T16:00:00Z,
57,1465409334133673985,"@bennyjohnson #OMICRON = VERY MILD SYMPTOMS, no loss of taste, or smell... it's COMMON FLU!

#FraudFauci &amp; @JoeBiden Admin use this to continue to spread #COVID19 fear THRU 2022!!!!

S.African doctor who first reported says Omicron variant have very mild symptoms!
https://t.co/jaMhNXOYZf",2021-11-29T16:00:00Z,
58,1465409269549965317,#Omicron sounds like a car from transformers.,2021-11-29T16:00:00Z,
59,1465409227938271236,"@MattWalshBlog The American Right has become an ignorant, anti-science death cult. #Omicron is a variant of concern. Approximately 777,000
Americans have been killed by COVID-19. It is NOT “a mild cold.” Get vaccinated. Mask up. Stay out of crowds. Stay home when sick. Support #VaccineEquity.",2021-11-29T16:00:00Z,
60,1465409209248272384,"@theestallion @BTS_twt Heres my dope new song OH SO STUPID (MUSIC BOX) https://t.co/S2x5MrDsZt
@Eminem @drdre @CrookedIntriago @JoynerLucas @jackharlow @NoLifeShaq @Interscope @UMG @ShadyRecords @WORLDSTAR #BallonDor #SpiderManNoWayHome #CyberMondayAmazon #CyberMonday #Omicron #NoWayHome https://t.co/qJZTynDQU4",2021-11-29T16:00:00Z,
61,1465409182878756867,"2021 in a nutshell #OmicronVariant #Omicron #GameOfThrones #freefolk #laborshortage #inflation #AmazonBlackFriday #GOT7 

https://t.co/fewxeV7sxE",2021-11-29T16:00:00Z,
62,1465409135755862016,Travelled from Vancouver to HK! The Omicron Variant may be amongst us more than we think here in Canada! #Covid #Omicron  https://t.co/PiEirNa9xU,2021-11-29T16:00:00Z,
63,1465409120174026757,#omicron - it's a mouthful... https://t.co/NioFbwqVOf,2021-11-29T16:00:00Z,
64,1465409113660166147,"Good News All Of You.. 6G Coming Soon 😳 Are You Ready? 🇮🇳
#SpiderManNoWayHome #NoWayHome #Omicron #6G #indian #government #India #Announcement #Viral #Trending #COMING_SOON #MagicTouch #techno #news #LIVE
https://t.co/mpXuZPWACD via @YouTubeIndia https://t.co/OZRT7PWu5y",2021-11-29T16:00:00Z,
65,1465409060094631940,"Tips is Combat #Omicron 
#COVID19  Appropriate Behavior 
- Maintain Physical distance 
- Say Namaste 🙏 
- Stay Home 
- Wash Hands Regularly 
- Wear Reusable mask 
- Get Vaccinated 
#OmicronVariant https://t.co/SAlhvqg906",2021-11-29T16:00:00Z,
66,1465409047994142720,"What you need to know about the markets and #Omicron IMHO
@Varneyco . @FoxBusiness 

Thanks for having me back and to all for watching!💯 https://t.co/xAEeiq7ztY",2021-11-29T16:00:00Z,
67,1465408989924057088,Some insight into the new COVID variant from our Next Edge biotech PM @EdenRahim #Omicron #covidvariant https://t.co/R9XkmZDV5p,2021-11-29T16:00:00Z,
68,1465408961536999427,"""Can't talk, gotta run and get my polio booster!""  said nobody ever.  (Stop comparing the polio vaccine to the covid vaccines!)

#COVID19 #OmicronVariant #Omicron #covid",2021-11-29T16:00:00Z,
69,1465408951814529030,Plan to vaccinate over 44 crore children ready #Omicron #Coronavirus #NTAGI #DrNKArora https://t.co/ZmPKLqLyIT,2021-11-29T16:00:00Z,
70,1465408933867278346,"US President Biden:

#Omicron variant 'cause for concern, not a cause for panic' and won’t lead to US lockdowns 
https://t.co/47B8qb2Np0",2021-11-29T16:00:00Z,
71,1465408878330335235,What can people do to protect themselves? #omicron https://t.co/iPIU7kaWaH,2021-11-29T16:00:00Z,
72,1465408877042802694,"🚨 splaining alert 🚨 

It’s not “omnicron” or “omricon” or “omnicorn” - it’s #omicron, “little O” - o + ‘micron’ (micro(n) being Greek for small), as opposed to omega - o + ‘mega’ (mega being Greek for big). Omicron is a short “o” sound, omega the long “oh” sound. /splain",2021-11-29T16:00:00Z,
73,1465408868515659779,"@MetaElevate #OMICRON = VERY MILD SYMPTOMS, no loss of taste, or smell... it's COMMON FLU!

#FraudFauci &amp; @JoeBiden Admin use this to continue to spread fear THRU 2022!!

S.African doctor who first reported says patients with Omicron variant have very mild symptoms!
https://t.co/jaMhNXOYZf",2021-11-29T16:00:00Z,
74,1465408865642729477,Omicron… Has it been purposely named as an anagram of Moronic? #Omicron #booster #BorisJohnson,2021-11-29T16:00:00Z,
75,1465408856876630021,@BBCWorld Author's technology of IT marking of a surface of capacity.  Increase confidence in vaccination and vaccination in general?  Significant protection against counterfeiting!  Easy access to information!  Online logistics.#Omicron https://t.co/hFJzxrGkE0,2021-11-29T16:00:00Z,
76,1465408855974711296,"BallonDor tweets increasin' faster than #Omicron 

#BallonDor",2021-11-29T16:00:00Z,
77,1465408839906377738,"Beyond the immediate uncertainty about #Omicron, our analysts note that more information is needed to determine its global economic implications.",2021-11-29T16:00:00Z,
78,1465408781999689729,"Remember when we were in 2020 everyone was waiting for 2021 so that the things could go back to normal? 
Yeah it’s almost 2022 now… with #Omicron 
Me to God - How can we get back to normal life? 🥺",2021-11-29T16:00:00Z,
79,1465408714341502984,"#OMICRON UPDATE: @POTUS is calling on other countries to step up and donate doses of #COVID19 vaccines to under-vaccinated/poor countries, where this variant originated. He says the US has shipped more than all other countries combined — over 275 million doses. https://t.co/nTIO1PN0PP",2021-11-29T16:00:00Z,
80,1465408614999416836,The 1st 4 pple to be found with Omicron were vaxxed. #facts The last variant will be called Communism. #Omicron #Omicron Covid #USA,2021-11-29T16:00:00Z,
81,1465408606514286595,"Please watch this great short animation about #covid #omicron. 

#yyccc @JyotiGondek @jasmine_mian @CupeAB #KeepUsSafe 
#COVIDisAirborne #HEPA #MonitorCO2 #ReturnToWorplace https://t.co/BHeOTVok3H",2021-11-29T16:00:00Z,
82,1465408566768979971,"Weekly Price Check:

#Bitcoin and most of the world markets experienced a pretty significant dip over the past week with the discovery of the new #covid variant #Omicron

Let us look at the biggest winners and losers of the past week 🔽
#news #btc #crypto 
https://t.co/pgLTCX8yCL",2021-11-29T16:00:00Z,
83,1465408561110867968,"""Portugal found 13 cases of the #Omicron variant at a Lisbon football club. Spain, Sweden, Scotland and Austria also reported their first cases""",2021-11-29T16:00:00Z,
84,1465408549102706691,"Omicron is entering the chat
😬
@4HumanUnity 
@lancelott2 
@OMGKittens12 
@LawyersAnd 
@tselsmark 
@AlanAlan5240751 
#Omicron https://t.co/hWXeuLU177",2021-11-29T16:00:00Z,
85,1465408531792896000,This could become significant for the next phase of the #pandemic - and change the debate about the protection of #children (Source: Bloomberg) #Omicron https://t.co/0haRHPCNf5,2021-11-29T16:00:00Z,
86,1465408529624440843,"Please help spread this video clip and end the #omicron panic. The media don't want you to see this
#COVID19 
Omicron symptoms are mild!! https://t.co/fEGxvse49r",2021-11-29T16:00:00Z,
